University,Start year,End year,Award amount,PI
University of Idaho,2015,2018,359797,David C Pfeiffer
University of Idaho,2015,2015,499550,Sara Eftekharnejad
University of Idaho,2015,2020,622609,Jack M Sullivan
University of Idaho,2015,2021,634936,Brian K Johnson
University of Idaho,2015,2023,1084787,Joel Perry
University of Idaho,2015,2021,2775000,Alistair M Smith
University of Idaho,2016,2018,38385,Daniel Johnson
University of Idaho,2016,2018,38385,Daniel Johnson
University of Idaho,2016,2021,157000,Linh V Nguyen
University of Idaho,2016,2022,350006,Teresa Cavazos Cohn
University of Idaho,2016,2022,409998,Deborah L Stenkamp
University of Idaho,2016,2021,430082,Elizabeth J Cassel
University of Idaho,2016,2020,452904,Vishal Saxena
University of Idaho,2016,2022,499090,Lilian Alessa
University of Idaho,2016,2024,558035,Daniele Tonina
University of Idaho,2016,2021,653194,Tara Hudiburg
University of Idaho,2016,2021,1101523,Karla Eitel
University of Idaho,2016,2021,1110980,Craig McGowan
University of Idaho,2016,2021,2698207,Lilian Alessa
University of Idaho,2016,2022,2999640,Robert Ely
University of Idaho,2016,2023,3695360,Daniel Conte de Leon
University of Idaho,2017,2018,6000,Soumya K Srivastava
University of Idaho,2017,2019,10250,Xiaogang Ma
University of Idaho,2017,2018,16567,Jerrold Long
University of Idaho,2017,2020,23391,Sanford D Eigenbrode
University of Idaho,2017,2019,51826,Eric L Mittelstaedt
University of Idaho,2017,2021,140234,Timothy C Bartholomaus
University of Idaho,2017,2021,175454,Michael S Strickland
University of Idaho,2017,2022,194238,Tara Hudiburg
University of Idaho,2017,2022,350343,Erik R Coats
University of Idaho,2017,2018,367898,Daniel Johnson
University of Idaho,2017,2022,692761,Christopher J Marx
University of Idaho,2017,2022,692761,Christopher J Marx
University of Idaho,2017,2022,699389,Paul A Hohenlohe
University of Idaho,2017,2022,700000,Ryan Long
University of Idaho,2017,2021,6000000,Frederick M Ytreberg
University of Idaho,2018,2019,12750,Brian K Johnson
University of Idaho,2018,2023,46000,Jerry R McMurtry
University of Idaho,2018,2022,54545,Grant Harley
University of Idaho,2018,2019,64476,Michelle K McGuire
University of Idaho,2018,2021,203592,Timothy E Link
University of Idaho,2018,2023,203667,Paul A Hohenlohe
University of Idaho,2018,2021,215522,Michael S Strickland
University of Idaho,2018,2022,250000,Ata Zadehgol
University of Idaho,2018,2023,331379,James Moberly
University of Idaho,2018,2022,363930,David C Pfeiffer
University of Idaho,2018,2023,478053,Paul A Rowley
University of Idaho,2018,2023,596975,Xiaogang Ma
University of Idaho,2018,2025,599643,Eric L Mittelstaedt
University of Idaho,2018,2022,869744,Anne L Kern
University of Idaho,2018,2025,1093880,Christine E Parent
University of Idaho,2018,2024,1777713,Christopher J Marx
University of Idaho,2018,2024,20000000,Andrew D Kliskey
University of Idaho,2019,2024,108245,Leslie L Baker
University of Idaho,2019,2023,122506,Luke Harmon
University of Idaho,2019,2021,152050,Samrat Choudhury
University of Idaho,2019,2022,312016,Fuchang Gao
University of Idaho,2019,2024,348957,Elowyn Yager
University of Idaho,2019,2025,449355,Lilian Alessa
University of Idaho,2019,2024,500000,Andrew S Nelson
University of Idaho,2019,2024,651698,Michael S Strickland
University of Idaho,2019,2024,729932,Elizabeth J Cassel
University of Idaho,2019,2025,749639,Andrew D Kliskey
University of Idaho,2019,2023,1074990,Cumer S Green
University of Idaho,2020,2021,14630,James J Nagler
University of Idaho,2020,2022,17700,Grant Harley
University of Idaho,2020,2023,26757,John W Anderson
University of Idaho,2020,2021,56420,Scott L Nuismer
University of Idaho,2020,2021,69485,Tara Hudiburg
University of Idaho,2020,2022,76051,Philip Stevens
University of Idaho,2020,2022,101268,Michelle K McGuire
University of Idaho,2020,2024,117607,Grant Harley
University of Idaho,2020,2023,252542,Tao Xing
University of Idaho,2020,2022,299911,Leda N Kobziar
University of Idaho,2020,2021,500000,Zouheir Rezki
University of Idaho,2020,2024,586223,Adam G Jones
University of Idaho,2020,2024,671486,Timothy C Bartholomaus
University of Idaho,2020,2025,1028242,Adam G Jones
University of Idaho,2020,2025,1368804,Julie M Amador
University of Idaho,2020,2024,5830709,Xiaogang Ma
University of Idaho,2021,2024,78630,Erika Rader
University of Idaho,2021,2024,128702,Grant Harley
University of Idaho,2021,2024,227519,Karla Eitel
University of Idaho,2021,2023,241902,Ralph S Budwig
University of Idaho,2021,2024,335902,Zachariah B Etienne
University of Idaho,2021,2025,336514,Andreas E Vasdekis
University of Idaho,2021,2025,443170,Leda N Kobziar
University of Idaho,2021,2026,499866,Christine E Parent
University of Idaho,2021,2024,539714,William J Reeder
University of Idaho,2021,2025,677575,Laurel Lynch
University of Idaho,2021,2025,792475,Xiaogang Ma
University of Idaho,2021,2023,1597830,Chloe B Wardropper
University of Idaho,2021,2025,3974309,Michael Maughan
University of Idaho,2021,2026,18950955,Michael S Strickland
University of Idaho,2022,2023,71669,Scott L Nuismer
University of Idaho,2022,2023,99966,Andrew D Kliskey
University of Idaho,2022,2024,118517,Zachariah B Etienne
University of Idaho,2022,2025,140899,Eva M Top
University of Idaho,2022,2025,199946,Johnny Li
University of Idaho,2022,2024,226347,Zachariah B Etienne
University of Idaho,2022,2027,276000,Jerry R McMurtry
University of Idaho,2022,2024,344599,Jessica R Stanley
University of Idaho,2022,2025,402341,Nathan R Schiele
University of Idaho,2022,2027,898220,Paul A Rowley
University of Idaho,2022,2027,1016312,Chris A Hamilton
University of Idaho,2022,2026,2999999,Vanessa Anthony-Stevens
University of Idaho,2022,2027,4460195,Jim Alves-Foss
University of Idaho,2023,2025,45380,Alexander Woo
University of Idaho,2023,2024,99445,Indrajit Charit
University of Idaho,2023,2026,156022,Grant Harley
University of Idaho,2023,2025,208292,Elowyn Yager
University of Idaho,2023,2025,250000,Esteban A Hernandez Vargas
University of Idaho,2023,2028,250000,Shirley Luckhart
University of Idaho,2023,2026,359828,Amin Mirkouei
University of Idaho,2023,2026,443525,Andrew Tranmer
University of Idaho,2023,2026,509641,Eric L Mittelstaedt
University of Idaho,2023,2026,645273,Kristopher V Waynant
University of Idaho,2023,2026,664468,Scott L Nuismer
University of Idaho,2023,2027,1179977,Julie M Amador
University of Idaho,2023,2027,2435509,Lilian Alessa
University of Idaho,2023,2028,20000000,Andrew D Kliskey
University of Idaho,2024,2027,456051,Kristopher V Waynant
University of Idaho,2024,2026,628415,Dave Lien
University of Idaho,2024,2025,1000000,Tara Hudiburg
